Duisburghof;84;;8689  ND;Lange Wijk                     ;F.;;Scholten;zephyrhilhd;vf21qgSW;534301526
Jan ter Laanplaats;2;;9342  VP;Laude                          ;H.H.;;Heijden;konzulatanf;YIA2CoKV;854347793
Gerrit Jan Mulderstraat;145;;9678  PK;Baan                           ;C.G.;;Post;gonellatozl;fWzMNJAo;894779436
Sleephellingstraat;113;bis;5832  PT;Frederiksoord                  ;B.L.;van;Vries;iikhowudinw;ZWAw4aGy;629921155
Tijmweg;51;a;7090  KP;Doldersum                      ;U.G.H.;van der;Bos;asincronosym;qHyRXrOV;816762351
Nieuwe Westen ;57;I;2120  VA;Hapert                         ;H.K.;van de;Verhoeven;maelanaar;0oXLNHG4;684749397
Maeckuweijsteeg;122;;9309  BC;Peelo                          ;N.H.P.;van der;Laan;arberthgq;DgPr1qQZ;375745932
Hoge Limiet ;119;;7908  OP;Vlaardinger-Ambacht            ;J.;van de;Koning;planinicgk;mqvpBbY3;683520374
Struisgras;39;;1229  GL;Abbega                         ;D.;;Heijden;primoramuh;TxTQYIM8;356370215
Oudaenstraat;14;bis;6432  GI;Deuteren                       ;Z.;de;Bosch;coclirexq;7JSUrzX6;81414353
Jan Greshoffstraat;53;I;1075  PS;Hoogewaard                     ;M.;van;Bruijn;umhland;QMwQcmPz;223305868
Essenweg;142;;5937  AJ;Lieren                         ;G.;van;Schouten;balloirabj;NlZpxYrq;61262663
Weena-Zuid;145;;6533  TP;Plasmolen                      ;D.M.K.;van;Velden;immafecagto;wkgv34C0;240115995
Paardehoefklaver;27;;5003  NM;Aetveldsche Polder             ;H.K.;;Heuvel;enrosentsto;Nv4e62jV;939028827
Jaap Quackenstraat;113;;9692  RP;Zwingelspaan                   ;S.;van;Koster;literaturaespyd;NQM1dCA1;351370705
Plaatweg;0;;5670  UL;Lageweide                      ;H.;;Visser;giarrilk;XApuzRU6;561965754
Apollostraat;125;;9486  VU;Renesse                        ;K.;van;Beek;attiguowc;bbAeedo2;808842560
West- Schiekade;100;;8457  OF;Ebbenbroek                     ;N.P.B.;de;Wit;swoxiasitjj;JsgOtzKh;26084569
Paul van Ostaijensingel;143;b;4817  PH;Veenendaal                     ;N.A.H.;de;Vink;rhagoraunn;qxhD0SE8;310057231
Schoterboschlaan;44;II;2829  OL;Menzel                         ;J.;;Vos;popotte60qp;t5B3Vw88;72864096
Tarwewijk;149;bis;2325  PR;Rinsumageest                   ;R.P.;van;Veenstra;koskicegk;HHlWVKYE;809531483
Burgemeester Just de la Paisieresstraat;74;;6724  BZ;Randwijk                       ;I.U.;de;Boer;drinomiw;cesFOdWe;429515960
Haagoord;115;;1075  PS;Hoogewaard                     ;S.E.;van de;Smit;rebaywb;KeRU8w2A;520370296
Oedevlietselaan;30;bis;1495  RM;Dearsum                        ;G.;de;Vermeulen;veiruaz;ACCv0KCR;246298832
Korte Goudsewagenstraat;85;;7908  OP;Vlaardinger-Ambacht            ;R.;;Wijk;kitioij;sYOnIM2V;729483150
Hof van Zuid;120;;1999  TJ;Meppen                         ;F.;de;Smits;pontatzad;1uBPIy4s;230845381
Hannekemaaierweg;28;;4513  SR;Veldstreek                     ;O.;de;Brink;lilyisawesometr;NVnUrov2;971350401
Adriaan Paauwlaan;30;;2346  UC;Aarlanderveen                  ;T.;;Horst;enebakksxd;28xaS03k;30644239
Caprihof;109;;4581  NM;Bargebek                       ;K.;de;Sanders;frapantnejc;9QHRCJMD;802956531
Sichemstraat;109;bis;7895  UB;Bovenkerk                      ;B.;;Meijer;bedenkingsy;ensWWwpJ;696534198
Marinus Bolkplein;67;;1219  PL;Knijp, De                      ;H.;de;Ven;houersjs;rMDSb0Uc;277440762
Oostersche Dwarshaven;50;;9353  PR;Dijkhuisjes                    ;N.D.;;Driessen;tiocfaidhjo;grn0BptJ;453364251
Duivenvoordestraat;95;;5185  NJ;Niemeskant                     ;G.;;Scholten;saborentxy;fbASVnv0;857553264
Kadeweg;4;bis;8231  LP;Kievitswaard                   ;K.H.E.;van de;Veen;laurentromansv;LY7HuwqV;651291045
Burgemeester s'Jacobplein;76;bis;4479  HB;Wijnjeterpverlaat              ;E.A.;;Ruiter;orengaga;i5OtdJGu;408634091
Heermoes;146;I;2765  LG;Bolgarijen                     ;B.R.;van;Bruijn;sonyakan311vi;b4DMs8wI;299441283
Simon  Vestdijkpad;85;;5619  KG;Drijber                        ;K.D.;;Meijer;kutritesv;j8Aeu7og;589552351
Vergulde Draeckweg;9;;1145  DJ;Varsseveld                     ;K.;;Willems;dworczykqf;6uYz1pvj;391845494
Bombaystraat;44;;4902  ZO;Laar                           ;G.;van de;Meer;ahepaviyw;tkNH4tcf;215867191
Sint Joris Kriekensteeg ;95;bis;5080  IC;Heiloo                         ;L.I.;van;Linden;aidfan173ci;wQ2ZYyHh;541543118
Laafnet;91;a;4709  OZ;Kaag en Braassem               ;E.;;Velde;doviknutisf;FivapUru;370704514
Boezemkade;55;b;2273  HV;Eemten                         ;J.U.;;Lange;zapljenizs;pp5qOAJi;209448337
Laning;90;;7848  LE;Nieuw-Heeten                   ;J.;;Willemsen;synonymxq;Ux1Y1cdx;56864346
Ganzekruid;81;;3207  TK;Boschkens                      ;S.;van der;Kok;litlausala;4fx2Nfjt;214973268
Grieksestraat;105;bis;3962  GI;Werkhoven                      ;K.;van de;Kok;crassanci;xPDXJ6r9;293715166
Raampad.;15;;6655  JO;Betterwird                     ;S.J.;van der;Martens;da2r1elqn;uvyi6iA1;947198970
Blommersdijksestraat ;95;b;8151  OU;Rolaf                          ;D.V.;;Prins;amoldabanfz;PAYQNcoQ;826690804
Beursplein;53;I;9634  LL;Gortel                         ;U.;;Peeters;crychiope;rVSeabII;716036137
Benedenstraat;39;I;6226  TN;Ransdorp                       ;P.;;Berg;statesr;1mFKr8SV;275182393
